type,omnianame,spinename,peganame,freshness,typelimit,typesourceTimeZone,typetargetTimeZone,typename
Double,cep_customer_features.cv30_crcd_stnd_incr,CV30_CRCD_STND_INCR,CV30CCStandardIncremental,P2D,,,,
Double,cep_customer_features.cv30_hl_bsic_incr,CV30_HL_BSIC_INCR,CV30HLBasicIncremental,P2D,,,,
Double,cep_customer_features.cv30_hl_fix_incr,CV30_HL_FIX_INCR,CV30HLFixedIncremental,P2D,,,,
Double,cep_customer_features.cv30_hl_stnd_incr,CV30_HL_STND_INCR,CV30HLStandardIncremental,P2D,,,,
Double,cep_customer_features.cv30_insr_home_motr_incr,CV30_INSR_HOME_MOTR_INCR,Cv30InsuranceHomeMotrIncr,P2D,,,,
Double,cep_customer_features.cv30_insr_incm_loan_incr,CV30_INSR_INCM_LOAN_INCR,CV30InsuranceIncomeLoanIncr,P2D,,,,
Double,cep_customer_features.cv30_insr_life_trma_incr,CV30_INSR_LIFE_TRMA_INCR,CV30InsuranceLifeTraumaIncr,P2D,,,,
Double,cep_customer_features.cv30_invt_invt_incr,CV30_INVT_INVT_INCR,CV30InvestmentAccountIncr,P2D,,,,
Double,cep_customer_features.cv30_othr_busn_incr,CV30_OTHR_BUSN_INCR,CV30OtherBusinessIncremental,P2D,,,,
Double,cep_customer_features.cv30_othr_othr_incr,CV30_OTHR_OTHR_INCR,CV30OtherAccountsIncremental,P2D,,,,
Double,cep_customer_features.cv30_pl_pl_incr,CV30_PL_PL_INCR,CV30PLAndOverDrIncremental,P2D,,,,
Double,cep_customer_features.cv30_pl_pl_ovdr_incr,CV30_PL_PL_OVDR_INCR,CV30PLOverDraftIncremental,P2D,,,,
Double,cep_customer_features.cv30_save_cash_invt_incr,CV30_SAVE_CASH_INVT_INCR,CV30SavingsCommsecIncr,P2D,,,,
Double,cep_customer_features.cv30_save_save_incr,CV30_SAVE_SAVE_INCR,CV30SavingsIncremental,P2D,,,,
Double,cep_customer_features.cv30_supn_supn_incr,CV30_SUPN_SUPN_INCR,CV30SuperannuationIncr,P2D,,,,
Double,cep_customer_features.cv30_td_td_incr,CV30_TD_TD_INCR,CV30TermDepositIncremental,P2D,,,,
Double,cep_customer_features.cv30_tran_evof_incr,CV30_TRAN_EVOF_INCR,CV30EveryDayOffsetIncr,P2D,,,,
Double,cep_customer_features.cv30_tran_misa_incr,CV30_TRAN_MISA_INCR,CV30TranMISAIncremental,P2D,,,,
Double,cep_customer_features.cv30_tran_tran_incr,CV30_TRAN_TRAN_INCR,CV30TransactionIncremental,P2D,,,,
Double,cep_customer_features.cv30_vloc_vloc_incr,CV30_VLOC_VLOC_INCR,CV30VLOCIncremental,P2D,,,,
Double,cep_customer_features.cv_sb_fcv_10_af_aset_fncl,CV_SB_FCV_10_AF_ASET_FNCL,ValuesSBAF,P2D,,,,
Double,cep_customer_features.cv_sb_fcv_10_busn_tran_acct,CV_SB_FCV_10_BUSN_TRAN_ACCT,ValuesSBBTA,P2D,,,,
Double,cep_customer_features.cv_sb_fcv_10_cl_cmln,CV_SB_FCV_10_CL_CMLN,ValuesSBCL,P2D,,,,
Double,cep_customer_features.cv_sb_fcv_10_tran_sbo,CV_SB_FCV_10_TRAN_SBO,ValuesSBSBO,P2D,,,,
Integer,cep_customer_features.pj_prsl_tran_trnf_db_last_1_mnth_cnt,DB_TRAN_LAST_1_MNTH_CNT,CountOfDBTransaction1Month,P2D,,,,
